pID,pName,options,suggestion
5621,Createx Satin Clear,"[{""name"":""2oz"",""price"":497},{""name"":""4oz"",""price"":775},{""name"":""8oz"",""price"":1450},{""name"":""16oz"",""price"":2725},{""name"":""32oz"",""price"":5100}]","[""Less Suggestions"",{""name"":""Createx Clear Coat 16oz Satin"",""price"":2725},{""name"":""Createx Clear Coat 32oz Satin"",""price"":5100},{""name"":""Createx Clear Coat 2oz Satin"",""price"":497}]"
C9208,Crescent Illustration Board 9208,"[{""name"":""15x20"",""price"":895}]","[""More Suggestions:3"",{""name"":""Crescent 9208 Illustration Board 15x20"",""price"":895},{""name"":""Crescent 9208 Illustration Board 30x40"",""price"":2695},{""name"":""Crescent 9208 Illustration Board 20x30"",""price"":1495}]"
62-203,CSI Ceram-X Polish,"[{""name"":""8oz (62-203-8)"",""price"":1500},{""name"":""32oz (62-203-Q)"",""price"":4515},{""name"":""Gallon (62-203-G)"",""price"":13538}]","[""Success-1"",{""name"":""CSI Ceram-X Polish 8oz"",""price"":1500},{""name"":""CSI Ceram-X Polish 32oz"",""price"":4515},{""name"":""CSI Ceram-X Polish Gallon"",""price"":13538}]"
62-209,CSI D1 Polish/Enhancer,"[{""name"":""8oz (62-209-8)"",""price"":833},{""name"":""32oz (62-209-Q)"",""price"":3000},{""name"":""Gallon (62-209-G)"",""price"":9000}]","[""Not All Prices Match"",{""name"":""CSI D1 Polish/Enhancer 8oz"",""price"":833},{""name"":""CSI D1 Polish/Enhancer 32oz"",""price"":2500},{""name"":""CSI D1 Polish/Enhancer Gallon"",""price"":7500},""Parenthesis"",""Success-2"",{""name"":""CSI D1 Polish/Enhancer 8oz"",""price"":833},{""name"":""CSI D1 Polish/Enhancer 32oz"",""price"":2500},{""name"":""CSI D1 Polish/Enhancer Gallon"",""price"":7500}]"
FFCMA4,Cutting Mats by Artool,"[{""name"":""8.5\"" x 12\"" Gray/Black (FFCMA4/OG)"",""price"":895},{""name"":""18\"" x 24\"" Gray/Black (FFCMA2/OG)"",""price"":2695},{""name"":""24\"" x 36\"" Gray/Black (FFCMA1/OG)"",""price"":5695},{""name"":""8.5\"" x 12\"" Translucent (FFCMA4/FT)"",""price"":895},{""name"":""12\"" x 18\"" Translucent (FFCMA3/FT)"",""price"":1595},{""name"":""18\"" x 24\"" Translucent (FFCMA2/FT)"",""price"":2695},{""name"":""24\"" x 36\"" Translucent (FFCMA1/FT)"",""price"":5695}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""Artool Cutting Mat Gray/Black 8.5x 12"",""price"":895},{""name"":""Artool Cutting Mat Gray/Black 18x24"",""price"":2695},{""name"":""Artool Cutting Mat Gray/Black 24x36"",""price"":5695},{""name"":""Artool Translucent Cutting Mat 8.5x12"",""price"":895},{""name"":""Artool Cutting Mat Transluscent 12\"" x 18"",""price"":1595},{""name"":""Artool Transluscent Cutting Mat 18x24"",""price"":2695},{""name"":""Artool Translucent Cutting Mat 24x36"",""price"":5695}]"
CR,Cutting Rails by Artool,"[{""name"":""6\"" (CR-6)"",""price"":795},{""name"":""12\"" (CR-12)"",""price"":995},{""name"":""15\"" (CR-15)"",""price"":1095},{""name"":""18\"" (CR-18)"",""price"":1195},{""name"":""24\"" (CR-24)"",""price"":1295},{""name"":""30\"" (CR-30)"",""price"":1495},{""name"":""36\"" (CR-36)"",""price"":1695}]","[""Less Suggestions"",{""name"":""Artool Cutting Rail 12"",""price"":995},{""name"":""Artool Cutting Rail 24"",""price"":1295},{""name"":""Artool Cutting Rail 15"",""price"":1095},{""name"":""Cr30 Cutting Rail 30"",""price"":1495},{""name"":""Artool Cutting Rail 36"",""price"":1695},""Parenthesis"",""Match Number: 0""]"
DGR-CUP,DAGR Airbrush Cups &b Lids,"[{""name"":""DGR-117:1/4 FL OZ Cup / Lid"",""price"":2495},{""name"":""DGR-118:1/3 FL OZ Cup / Lid"",""price"":2695},{""name"":""DGR-119:1/2 FL OZ up / Lid"",""price"":2695}]","[""No Suggestions""]"
DGR-123,DAGR Airbrush Hose,"[{""name"":""DGR-123 10' Hose"",""price"":3095},{""name"":""DGR-124 10' Hose w/ Quick Connect"",""price"":4995},{""name"":""DGR-125 20' Hose"",""price"":4195},{""name"":""DGR-126 20' Hose w/ Quick Connect"",""price"":6150}]","[""Less Suggestions"",{""name"":""Devilbiss DAGR 10' Airbrush Hose"",""price"":2395}]"
158L,Dark Blue,"[{""name"":""4 oz"",""price"":835},{""name"":""8 oz"",""price"":1258},{""name"":""Pint"",""price"":1777},{""name"":""Quart"",""price"":3345}]","[""Not All Prices Match"",{""name"":""One Shot 158L Dark Blue 4oz"",""price"":834},{""name"":""One Shot 158L Dark Blue 8oz"",""price"":1258},{""name"":""One Shot 158L Dark Blue 16oz"",""price"":1776},{""name"":""One Shot 158L Dark Blue 32oz"",""price"":3163}]"
5128,Dark Brown,"[{""name"":""2 oz"",""price"":361},{""name"":""4 oz"",""price"":562},{""name"":""8 oz"",""price"":1087},{""name"":""16 oz"",""price"":2021},{""name"":""32 oz"",""price"":3333},{""name"":""Gallon"",""price"":11464}]","[""Not All Prices Match"",{""name"":""Createx 5128 Transparent Dark Brown 2oz"",""price"":295},{""name"":""Createx 5128 Transparent Dark Brown 4oz"",""price"":450},{""name"":""Createx 5128 Transparent Dark Brown 8oz"",""price"":875},{""name"":""Createx 5128 Transparent Dark Brown 16oz"",""price"":1600},{""name"":""Createx 5128 Transparent Dark Brown 32oz"",""price"":3333},{""name"":""Createx 5128 Transparent Dark Brown Gallon"",""price"":11464}]"
115L,Dark Brown,"[{""name"":""4 oz"",""price"":835},{""name"":""8 oz"",""price"":1258},{""name"":""Pint"",""price"":1777},{""name"":""Quart"",""price"":3345}]","[""Not All Prices Match"",{""name"":""One Shot 115L Dark Brown 4oz"",""price"":834},{""name"":""One Shot 115L Dark Brown 8oz"",""price"":1259},{""name"":""One Shot 115L Dark Brown 16oz"",""price"":1685},{""name"":""One Shot 115L Dark Brown 32oz"",""price"":3163}]"
DA11,Dark Cocoa,"[{""name"":""1 oz"",""price"":1050},{""name"":""4 oz"",""price"":2695},{""name"":""16oz"",""price"":10200}]","[""Less Suggestions"",{""name"":""Temptu Dura Skin Tone 11 Dark Cocoa 1oz"",""price"":1350},{""name"":""Temptu Dura Skin Tone 11 Dark Cocoa 4oz"",""price"":3150}]"
S/B-011,Dark Cocoa Foundation,"[{""name"":""1 oz"",""price"":2350},{""name"":""4 oz"",""price"":8500}]","[""Success-1"",{""name"":""Temptu S/B Foundation 011 Dark Chocolate 1oz"",""price"":2350},{""name"":""Temptu S/B Foundation 011 Dark Chocolate 4oz"",""price"":8500}]"
F17,Dark Gold,"[{""name"":""1 oz by vol."",""price"":995},{""name"":""6 oz"",""price"":4895}]","[""Not All Prices Match"",{""name"":""Hok Flake F17 Dark Gold 1oz"",""price"":1280},{""name"":""Hok Flake F17 Dark Gold 6oz"",""price"":5376}]"
AQ109,Dark Golden Beige Foundation (Discontinued - Limited Availability),"[{""name"":""1 oz"",""price"":1695},{""name"":""4 oz"",""price"":5995}]","[""Success-1"",{""name"":""Temptu Aqua Foundation #109 Dark Golden Beige 1oz"",""price"":1695},{""name"":""Temptu Aqua Foundation #109 Dark Golden Beige 4oz"",""price"":5995}]"
148L,Dark Green,"[{""name"":""4 oz"",""price"":898},{""name"":""8 oz"",""price"":1361},{""name"":""Pint"",""price"":1937},{""name"":""Quart"",""price"":3440}]","[""Not All Prices Match"",{""name"":""One Shot 148L Dark Green 4oz"",""price"":804},{""name"":""One Shot 148L Dark Green 8oz"",""price"":1265},{""name"":""One Shot 148L Dark Green 16oz"",""price"":1937},{""name"":""One Shot 148L Dark Green 32oz"",""price"":3440}]"
164L,Dark Magenta,"[{""name"":""4 oz"",""price"":1410},{""name"":""8 oz"",""price"":2066},{""name"":""Pint"",""price"":3012},{""name"":""Quart"",""price"":5465}]","[""Less Suggestions"",{""name"":""One Shot 164L Dark Magenta 8oz"",""price"":2066},{""name"":""One Shot 164L  Dark Magenta 16oz"",""price"":3012},{""name"":""One Shot 164L Dark Magenta 4oz"",""price"":1410}]"
5108,Deep Blue,"[{""name"":""2 oz"",""price"":361},{""name"":""4 oz"",""price"":562},{""name"":""8 oz"",""price"":1087},{""name"":""16 oz"",""price"":2021},{""name"":""32 oz"",""price"":3333},{""name"":""Gallon"",""price"":11464}]","[""Not All Prices Match"",{""name"":""Createx 5108 Transparent Deep Blue 2oz"",""price"":295},{""name"":""Createx 5108 Transparent Deep Blue 4oz"",""price"":450},{""name"":""Createx 5108 Transparent Deep Blue 8oz"",""price"":875},{""name"":""Createx 5108 Transparent Deep Blue 16oz"",""price"":1600},{""name"":""Createx 5108 Transparent Deep Blue 32oz"",""price"":3333},{""name"":""Createx 5108 Transparent Deep Blue Gallon"",""price"":3333}]"
5124,Deep Red,"[{""name"":""2 oz"",""price"":361},{""name"":""4 oz"",""price"":562},{""name"":""8 oz"",""price"":1087},{""name"":""16 oz"",""price"":2021},{""name"":""32 oz"",""price"":3333},{""name"":""Gallon"",""price"":11464}]","[""Not All Prices Match"",{""name"":""Createx 5124 Transparent Deep Red 2oz"",""price"":295},{""name"":""Createx 5124 Transparent Deep Red 4oz"",""price"":450},{""name"":""Createx 5124 Transparent Deep Red 8oz"",""price"":875},{""name"":""Createx 5127 Transparent Deep Red 16oz"",""price"":1600},{""name"":""Createx 5124 Transparent Deep Red 32oz"",""price"":3333},{""name"":""Createx 5124 Transparent Deep Red Gallon"",""price"":11464}]"
AQ116,Deep Rose Blush,"[{""name"":""1 oz"",""price"":1695},{""name"":""4 oz"",""price"":5995}]","[""Success-1"",{""name"":""Temptu Aqua Blush #116 Deep Rose 1oz"",""price"":1695},{""name"":""Temptu Aqua Blush #116 Deep Rose 4oz"",""price"":5995}]"
W051,Detail Black,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 051 Detail Black 16oz"",""price"":1635},{""name"":""Wicked 051 Detail Black 2oz"",""price"":450},{""name"":""Wicked 051 Detail Black 32oz"",""price"":3168}]"
W058,Detail Blue Green,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 058 Detail Blue Green 16oz"",""price"":1635},{""name"":""Wicked 058 Detail Blue Green 2oz"",""price"":450},{""name"":""Wicked 058 Detail Blue Green 32oz"",""price"":3168}]"
W057,Detail Blue Violet,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 057 Detail Blue Violet 16oz"",""price"":1635},{""name"":""Wicked 057 Detail Blue Violet 2oz"",""price"":450},{""name"":""Wicked 057 Detail Blue Violet 32oz"",""price"":3168}]"
W066,Detail Burnt Orange,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 066 Detail Burnt Orange 16oz"",""price"":1635},{""name"":""Wicked 066 Detail Burnt Orange 2oz"",""price"":450},{""name"":""Wicked 066 Detail Burnt Orange 32oz"",""price"":3168}]"
W074,Detail Burnt Sienna,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 074 Detail Burnt Sienna 16oz"",""price"":1635},{""name"":""Wicked 074 Detail Burnt Sienna 2oz"",""price"":450},{""name"":""Wicked 074 Detail Burnt Sienna 32oz"",""price"":3168}]"
W069,Detail Burnt Umber,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 069 Detail Burnt Umber 16oz"",""price"":1635},{""name"":""Wicked 069 Detail Burnt Umber 2oz"",""price"":450},{""name"":""Wicked 069 Detail Burnt Umber 32oz"",""price"":3168}]"
W063,Detail Carmine,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 063 Detail Carmine 16oz"",""price"":1635},{""name"":""Wicked 063 Detail Carmine 2oz"",""price"":450},{""name"":""Wicked 063 Detail Carmine 32oz"",""price"":3168}]"
W062,Detail Cerulean Blue,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 062 Detail Cerulean Blue 16oz"",""price"":1635},{""name"":""Wicked 062 Detail Cerulean Blue 2oz"",""price"":450},{""name"":""Wicked 062 Detail Cerulean Blue 32oz"",""price"":3168}]"
W061,Detail Cobalt Blue,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 061 Detail Cobalt Blue 16oz"",""price"":1635},{""name"":""Wicked 061 Detail Cobalt Blue 2oz"",""price"":450},{""name"":""Wicked 061 Detail Cobalt Blue 32oz"",""price"":3168}]"
W073,Detail Driscoll Tone,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 073 Detail Driscoll Tone 16oz"",""price"":1635},{""name"":""Wicked 073 Detail Driscoll Tone 2oz"",""price"":450},{""name"":""Wicked 073 Detail Driscoll Tone 32oz"",""price"":3168}]"
W032,Detail Flat Opaque White,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168}]","[""More Suggestions:4"",{""name"":""WINTER WHEAT"",""price"":1795},{""name"":""Wicked 032 Opaque Super Flat White 16oz"",""price"":1635},{""name"":""Wicked 032 Super Flat White 2oz"",""price"":450},{""name"":""Wicked 032 Opaque Super Flat White 32oz"",""price"":3168}]"
W064,Detail Magenta,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 064 Detail Magenta 16oz"",""price"":1635},{""name"":""Wicked 064 Detail Magenta 2oz"",""price"":450},{""name"":""Wicked 064 Detail Magenta 32oz"",""price"":3168}]"
W059,Detail Moss Green,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 059  Detail Moss Green 16oz"",""price"":1635},{""name"":""Wicked 059 Detail Moss Green 2oz"",""price"":450},{""name"":""Wicked 059 Detail Moss Green 32oz"",""price"":3168}]"
W054,Detail Orange,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 054 Detail Orange 16oz"",""price"":1635},{""name"":""Wicked 054 Detail Orange 2oz"",""price"":450},{""name"":""Wicked 054 Detail Orange 32oz"",""price"":3168}]"
W071,Detail Paynes Grey,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 071 Detail Paynes Grey 16oz"",""price"":1635},{""name"":""Wicked 071 Detail Paynes Grey 2oz"",""price"":450},{""name"":""Wicked 071 Detail Paynes Grey 32oz"",""price"":3168}]"
W067,Detail Raw Sienna,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 067 Detail Raw Sienna 16oz"",""price"":1635},{""name"":""Wicked 067 Detail Raw Sienna 2oz"",""price"":450},{""name"":""Wicked 067 Detail Raw Sienna 32oz"",""price"":3168}]"
W068,Detail Raw Umber,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 068 Detail Raw Umber 16oz"",""price"":1635},{""name"":""Wicked 068 Detail Raw Umber 2oz"",""price"":450},{""name"":""Wicked 068 Detail Raw Umber 32oz"",""price"":3168}]"
W056,Detail Red Violet,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 056 Detail Red Violet 16oz"",""price"":1635},{""name"":""Wicked 056 Detail Red Violet 2oz"",""price"":450},{""name"":""Wicked 056 Detail Red Violet 32oz"",""price"":3168}]"
W053,Detail Scarlet,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 053 Detail Scarlet 16oz"",""price"":1635},{""name"":""Wicked 053 Detail Scarlet 2oz"",""price"":450},{""name"":""Wicked 053 Detail Scarlet 32oz"",""price"":3168}]"
W070,Detail Sepia,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 070 Detail Sepia 16oz"",""price"":1635},{""name"":""Wicked 070 Detail Sepia 2oz"",""price"":450},{""name"":""Wicked 070 Detail Sepia 32oz"",""price"":3168}]"
W072,Detail Smoke Black,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 072 Detail Smoke Black 16oz"",""price"":1635},{""name"":""Wicked 072 Detail Smoke Black 2oz"",""price"":450},{""name"":""Wicked 072 Detail Smoke Black 32oz"",""price"":3168}]"
W055,Detail Violet,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 055 Detail Violet 16oz"",""price"":1635},{""name"":""Wicked 055 Detail Violet 2oz"",""price"":450},{""name"":""Wicked 055 Detail Violet 32oz"",""price"":3168}]"
W060,Detail Viridian,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 060 Detail Viridian 16oz"",""price"":1635},{""name"":""Wicked 060 Detail Viridian 2oz"",""price"":450},{""name"":""Wicked 060 Detail Viridian 32oz"",""price"":3168}]"
W050,Detail White,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 050 Detail White 16oz"",""price"":1635},{""name"":""Wicked 050 Detail White 2oz"",""price"":450},{""name"":""Wicked 050 Detail White 32oz"",""price"":3168}]"
W052,Detail Yellow,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 052 Detail Yellow 16oz"",""price"":1635},{""name"":""Wicked 052 Detail Yellow 2oz"",""price"":450},{""name"":""Wicked 052 Detail Yellow 32oz"",""price"":3168}]"
W065,Detail Yellow Ochre,"[{""name"":""2oz"",""price"":431},{""name"":""16oz"",""price"":1873},{""name"":""32oz"",""price"":3168},{""name"":""Gal. 128oz *Special Order*"",""price"":11330}]","[""Less Suggestions"",{""name"":""Wicked 065 Detail Yellow Ochre 16oz"",""price"":1635},{""name"":""Wicked 065 Detail Yellow Ochre 2oz"",""price"":450},{""name"":""Wicked 065 Detail Yellow Ochre 32oz"",""price"":3168}]"
